Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Set,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
FDA15,9.3,0.016047301,4,OUT049,21,1,2,3735.138,train,0,1,0,0
DRC01,5.92,0.019278216,1,OUT018,11,1,0,443.4228,train,0,0,1,0
FDN15,17.5,0.016760075,2,OUT049,21,1,2,2097.27,train,0,1,0,0
FDX07,19.2,0.0,3,OUT010,22,0,0,732.38,train,1,0,0,0
NCD19,8.93,0.0,1,OUT013,33,2,0,994.7052,train,0,1,0,0
FDP36,10.395,0.0,1,OUT018,11,1,0,556.6088,train,0,0,1,0
FDO10,13.65,0.012741089,1,OUT013,33,2,0,343.5528,train,0,1,0,0
FDP10,19.0,0.127469857,2,OUT027,35,1,0,4022.7636,train,0,0,0,1
FDH17,16.2,0.016687114,2,OUT045,18,0,1,1076.5986,train,0,1,0,0
FDU28,19.2,0.09444959,4,OUT017,13,0,1,4710.535,train,0,1,0,0
FDY07,11.8,0.0,1,OUT049,21,1,2,1516.0266,train,0,1,0,0
FDA03,18.5,0.045463773,3,OUT046,23,0,2,2187.153,train,0,1,0,0
FDX32,15.1,0.1000135,3,OUT049,21,1,2,1589.2646,train,0,1,0,0
FDS46,17.6,0.047257328,2,OUT046,23,0,2,2145.2076,train,0,1,0,0
FDF32,16.35,0.0680243,4,OUT013,33,2,0,1977.426,train,0,1,0,0
FDP49,9.0,0.069088961,1,OUT046,23,0,2,1547.3192,train,0,1,0,0
NCB42,11.8,0.008596051,2,OUT018,11,1,0,1621.8888,train,0,0,1,0
FDP49,9.0,0.069196376,1,OUT049,21,1,2,718.3982,train,0,1,0,0
DRI11,8.26,0.034237682,2,OUT027,35,1,0,2303.668,train,0,0,0,1
FDU02,13.35,0.10249212,4,OUT035,16,0,1,2748.4224,train,0,1,0,0
FDN22,18.85,0.138190277,4,OUT013,33,2,0,3775.086,train,0,1,0,0
FDW12,8.315,0.035399923,3,OUT027,35,1,0,4064.0432,train,0,0,0,1
NCB30,14.6,0.025698134,4,OUT035,16,0,1,1587.2672,train,0,1,0,0
FDC37,15.5,0.057556998,2,OUT019,35,0,2,214.3876,train,1,0,0,0
FDR28,13.85,0.025896485,3,OUT046,23,0,2,4078.025,train,0,1,0,0
NCD06,13.0,0.099887103,1,OUT017,13,0,1,838.908,train,0,1,0,0
FDV10,7.645,0.066693437,1,OUT035,16,0,1,1065.28,train,0,1,0,0
DRJ59,11.65,0.019356132,1,OUT013,33,2,0,308.9312,train,0,1,0,0
FDE51,5.925,0.161466534,1,OUT010,22,0,0,178.4344,train,1,0,0,0
FDC14,14.5,0.072221801,1,OUT019,35,0,2,125.8362,train,1,0,0,0
FDV38,19.25,0.170348551,1,OUT010,22,0,0,163.7868,train,1,0,0,0
NCS17,18.6,0.080829372,2,OUT018,11,1,0,2741.7644,train,0,0,1,0
FDP33,18.7,0.0,4,OUT018,11,1,0,3068.0064,train,0,0,1,0
FDO23,17.85,0.0,1,OUT045,18,0,1,2174.5028,train,0,1,0,0
DRH01,17.5,0.097904029,3,OUT046,23,0,2,2085.2856,train,0,1,0,0
NCX29,10.0,0.089291137,3,OUT049,21,1,2,3791.0652,train,0,1,0,0
FDV20,20.2,0.059511812,2,OUT027,35,1,0,2797.6916,train,0,0,0,1
DRZ11,8.85,0.113123893,2,OUT018,11,1,0,1609.9044,train,0,0,1,0
FDX10,6.385,0.123111453,1,OUT027,35,1,0,388.1614,train,0,0,0,1
FDB34,15.25,0.026480954,1,OUT027,35,1,0,2180.495,train,0,0,0,1
FDU02,13.35,0.102511504,4,OUT046,23,0,2,3435.528,train,0,1,0,0
FDK43,9.8,0.02681843,2,OUT013,33,2,0,2150.534,train,0,1,0,0
FDA46,13.6,0.117818348,4,OUT049,21,1,2,2527.3768,train,0,1,0,0
FDC02,21.35,0.069102831,4,OUT018,11,1,0,6768.5228,train,0,0,1,0
FDL50,12.15,0.042277867,2,OUT013,33,2,0,373.5138,train,0,1,0,0
FDM39,6.42,0.089498926,3,OUT010,22,0,0,358.2004,train,1,0,0,0
NCP05,19.6,0.0,3,OUT045,18,0,1,2428.8384,train,0,1,0,0
FDV49,10.0,0.025879577,4,OUT045,18,0,1,5815.0972,train,0,1,0,0
FDL12,15.85,0.121632721,1,OUT046,23,0,2,2576.646,train,0,1,0,0
FDS02,10.195,0.255394896,4,OUT019,35,0,2,780.3176,train,1,0,0,0
NCL17,7.39,0.067779712,3,OUT046,23,0,2,3134.5864,train,0,1,0,0
FDM40,10.195,0.159803853,2,OUT013,33,2,0,850.8924,train,0,1,0,0
FDR13,9.895,0.028696932,2,OUT013,33,2,0,810.9444,train,0,1,0,0
FDA43,10.895,0.065041581,4,OUT017,13,0,1,3121.2704,train,0,1,0,0
NCP18,12.15,0.028760013,3,OUT017,13,0,1,4815.0656,train,0,1,0,0
FDK21,7.905,0.010053105,4,OUT018,11,1,0,6258.52,train,0,0,1,0
NCX54,9.195,0.048157338,2,OUT045,18,0,1,2117.244,train,0,1,0,0
DRK35,8.365,0.071958197,1,OUT049,21,1,2,796.9626,train,0,1,0,0
FDY21,15.1,0.173481304,4,OUT046,23,0,2,4910.275,train,0,1,0,0
FDI26,5.94,0.061082177,3,OUT019,35,0,2,892.172,train,1,0,0,0
FDM20,10.0,0.0,4,OUT018,11,1,0,3185.1872,train,0,0,1,0
FDV27,7.97,0.040071131,1,OUT045,18,0,1,1062.6168,train,0,1,0,0
FDF09,6.215,0.012090074,1,OUT027,35,1,0,484.7024,train,0,0,0,1
FDY40,15.5,0.15028599,1,OUT019,35,0,2,147.8076,train,1,0,0,0
FDY45,17.5,0.026015519,4,OUT027,35,1,0,2543.356,train,0,0,0,1
FDC46,17.7,0.195068226,3,OUT010,22,0,0,184.4266,train,1,0,0,0
FDH19,19.35,0.033082215,3,OUT035,16,0,1,4865.6664,train,0,1,0,0
FDZ03,13.65,0.078946455,4,OUT045,18,0,1,1118.544,train,0,1,0,0
DRH37,17.6,0.041700756,3,OUT045,18,0,1,2302.3364,train,0,1,0,0
NCI17,8.645,0.143422643,2,OUT046,23,0,2,2027.361,train,0,1,0,0
FDJ58,15.6,0.105296072,3,OUT046,23,0,2,3435.528,train,0,1,0,0
FDL12,15.85,0.121531501,1,OUT013,33,2,0,599.22,train,0,1,0,0
FDH35,18.25,0.0,3,OUT045,18,0,1,4604.6728,train,0,1,0,0
FDG02,7.855,0.011324862,4,OUT017,13,0,1,2285.0256,train,0,1,0,0
NCZ18,7.825,0.186357148,4,OUT049,21,1,2,5580.7356,train,0,1,0,0
FDC29,8.39,0.024205661,2,OUT046,23,0,2,2290.352,train,0,1,0,0
FDQ10,12.85,0.033230816,3,OUT049,21,1,2,1207.0954,train,0,1,0,0
FDN48,13.35,0.113720344,1,OUT019,35,0,2,643.1628,train,1,0,0,0
FDL04,19.0,0.112556507,2,OUT017,13,0,1,1587.933,train,0,1,0,0
FDV25,5.905,0.0,4,OUT045,18,0,1,5305.0944,train,0,1,0,0
FDD58,7.76,0.059352241,2,OUT046,23,0,2,1697.79,train,0,1,0,0
FDN04,11.8,0.014087057,3,OUT046,23,0,2,1427.4752,train,0,1,0,0
FDV45,16.75,0.045230944,4,OUT018,11,1,0,4693.89,train,0,0,1,0
NCL18,18.85,0.293417759,4,OUT019,35,0,2,583.2408,train,1,0,0,0
FDR12,12.6,0.031382044,3,OUT027,35,1,0,3091.9752,train,0,0,0,1
FDG20,15.5,0.12639886,3,OUT017,13,0,1,2479.4392,train,0,1,0,0
FDZ55,6.055,0.025403898,3,OUT035,16,0,1,2716.464,train,0,1,0,0
FDQ49,20.2,0.039057677,3,OUT027,35,1,0,3285.723,train,0,0,0,1
FDN33,6.305,0.123115764,2,OUT046,23,0,2,661.8052,train,0,1,0,0
FDN27,20.85,0.039624006,2,OUT049,21,1,2,1523.3504,train,0,1,0,0
FDW20,20.75,0.040421193,2,OUT010,22,0,0,369.519,train,1,0,0,0
DRG27,8.895,0.105274111,1,OUT049,21,1,2,690.4346,train,0,1,0,0
DRI25,19.6,0.033970195,1,OUT045,18,0,1,1381.535,train,0,1,0,0
FDA44,19.7,0.053212652,1,OUT035,16,0,1,622.523,train,0,1,0,0
NCR17,9.8,0.024378706,2,OUT035,16,0,1,1274.3412,train,0,1,0,0
FDU04,7.93,0.009714595,2,OUT019,35,0,2,487.3656,train,1,0,0,0
FDF41,12.15,0.131383762,4,OUT049,21,1,2,1231.73,train,0,1,0,0
FDB56,8.75,0.07461309,4,OUT035,16,0,1,3755.112,train,0,1,0,0
NCP18,12.15,0.028459761,3,OUT027,35,1,0,4363.6532,train,0,0,0,1
FDB56,8.75,0.074627201,4,OUT046,23,0,2,1314.2892,train,0,1,0,0
FDT28,13.3,0.063695084,3,OUT045,18,0,1,1805.6496,train,0,1,0,0
FDD10,20.6,0.045797829,3,OUT027,35,1,0,2854.9504,train,0,0,0,1
FDW57,8.31,0.115857223,3,OUT049,21,1,2,3896.2616,train,0,1,0,0
DRB48,16.75,0.024832806,1,OUT013,33,2,0,667.7974,train,0,1,0,0
FDP09,19.75,0.034027909,4,OUT018,11,1,0,3185.853,train,0,0,1,0
FDH14,17.1,0.0467696,2,OUT013,33,2,0,2247.7408,train,0,1,0,0
FDA47,10.5,0.116576702,3,OUT013,33,2,0,1794.331,train,0,1,0,0
FDG12,6.635,0.0,2,OUT045,18,0,1,2530.7058,train,0,1,0,0
DRE60,9.395,0.278974075,4,OUT019,35,0,2,679.116,train,1,0,0,0
DRK49,14.15,0.035913805,1,OUT013,33,2,0,812.276,train,0,1,0,0
